iter	Passed	Remaining
669	18377	9051
670	18400	9022
671	18426	8994
672	18448	8963
673	18474	8935
674	18497	8906
675	18516	8874
676	18538	8844
677	18562	8815
678	18586	8786
679	18608	8756
680	18630	8726
681	18654	8698
682	18679	8669
683	18705	8641
684	18725	8611
685	18744	8579
686	18764	8549
687	18786	8519
688	18806	8488
689	18826	8458
690	18844	8426
691	18868	8398
692	18894	8370
693	18935	8349
694	18970	8325
695	19004	8300
696	19038	8276
697	19071	8251
698	19097	8223
699	19121	8195
700	19143	8165
701	19165	8135
702	19187	8106
703	19207	8075
704	19233	8048
705	19259	8020
706	19285	7992
707	19315	7966
708	19340	7938
709	19374	7913
710	19402	7886
711	19432	7860
712	19461	7833
713	19485	7805
714	19505	7775
715	19531	7747
716	19554	7718
717	19582	7691
718	19605	7662
719	19629	7633
720	19651	7604
721	19672	7574
722	19693	7545
723	19718	7516
724	19741	7488
725	19763	7458
726	19790	7431
727	19816	7403
728	19841	7375
729	19863	7346
730	19887	7318
731	19909	7289
732	19931	7260
733	19954	7231
734	19977	7202
735	20000	7173
736	20027	7146
737	20052	7119
738	20082	7092
739	20111	7066
740	20139	7039
741	20163	7011
742	20190	6983
743	20221	6957
744	20244	6929
745	20265	6900
746	20287	6871
747	20310	6842
748	20332	6813
749	20359	6786
750	20380	6757
751	20402	6728
752	20427	6700
753	20450	6672
754	20468	6642
755	20488	6612
756	20510	6583
757	20529	6554
758	20549	6524
759	20567	6495
760	20586	6465
761	20610	6437
762	20631	6408
763	20659	6381
764	20680	6352
765	20701	6324
766	20724	6295
767	20747	6267
768	20772	6239
769	20792	6210
770	20812	6181
771	20834	6153
772	20860	6126
773	20885	6098
774	20909	6070
775	20931	6042
776	20955	6014
777	20978	5986
778	21005	5959
779	21027	5930
780	21053	5903
781	21077	5875
782	21101	5848
783	21123	5819
784	21151	5792
785	21180	5766
786	21208	5739
787	21241	5714
788	21275	5689
789	21307	5663
790	21335	5637
791	21358	5609
792	21387	5582
793	21414	5555
794	21435	5527
795	21457	5499
796	21481	5471
797	21503	5443
798	21536	5417
799	21560	5390
800	21583	5362
801	21609	5335
802	21633	5307
803	21662	5280
804	21688	5253
805	21712	5226
806	21736	5198
807	21762	5171
808	21786	5143
809	21810	5116
810	21834	5088
811	21862	5061
812	21885	5033
813	21913	5007
814	21935	4979
815	21962	4952
816	21994	4926
817	22022	4899
818	22045	4872
819	22070	4844
820	22093	4817
821	22121	4790
822	22142	4762
823	22165	4734
824	22190	4707
825	22211	4678
826	22238	4651
827	22263	4624
828	22301	4600
829	22355	4578
830	22397	4555
831	22433	4529
832	22464	4503
833	22486	4475
834	22505	4447
835	22531	4419
836	22556	4392
837	22580	4365
838	22601	4337
839	22623	4309
840	22648	4281
841	22671	4254
842	22696	4226
843	22720	4199
844	22746	4172
845	22769	4144
846	22796	4117
847	22822	4090
848	22849	4063
849	22876	4037
850	22900	4009
851	22927	3982
852	22950	3955
853	22975	3927
854	23000	3900
855	23025	3873
856	23046	3845
857	23064	3817
858	23082	3788
859	23098	3760
860	23117	3732
861	23138	3704
862	23159	3676
863	23181	3648
864	23205	3621
865	23230	3594
866	23254	3567
867	23275	3539
868	23296	3511
869	23321	3484
870	23344	3457
871	23370	3430
872	23391	3402
873	23418	3376
874	23440	3348
875	23474	3322
876	23507	3296
877	23536	3270
878	23571	3244
879	23603	3218
880	23626	3191
881	23652	3164
882	23685	3138
883	23714	3111
884	23741	3085
885	23769	3058
886	23793	3031
887	23818	3004
888	23845	2977
889	23914	2955
890	23976	2933
891	24016	2907
892	24039	2880
893	24069	2853
894	24092	2826
895	24112	2798
896	24135	2771
897	24158	2744
898	24182	2716
899	24203	2689
900	24228	2662
901	24251	2634
902	24277	2607
903	24301	2580
904	24322	2553
905	24345	2525
906	24366	2498
907	24391	2471
908	24413	2444
909	24434	2416
910	24458	2389
911	24485	2362
912	24514	2335
913	24535	2308
914	24561	2281
915	24587	2254
916	24618	2228
917	24661	2202
918	24703	2177
919	24744	2151
920	24780	2125
921	24817	2099
922	24854	2073
923	24890	2047
924	24921	2020
925	24983	1996
926	25006	1969
927	25026	1941
928	25057	1915
929	25089	1888
930	25135	1862
931	25185	1837
932	25222	1811
933	25254	1784
934	25286	1757
935	25322	1731
936	25356	1704
937	25406	1679
938	25446	1653
939	25485	1626
940	25525	1600
941	25557	1573
942	25590	1546
943	25643	1521
944	25671	1494
945	25701	1467
946	25742	1440
947	25765	1413
948	25796	1386
949	25831	1359
950	25867	1332
951	25896	1305
952	25926	1278
953	25945	1251
954	25967	1223
955	25990	1196
956	26013	1168
957	26039	1141
958	26058	1114
959	26080	1086
960	26107	1059
961	26128	1032
962	26146	1004
963	26165	977
964	26185	949
965	26206	922
966	26226	895
967	26248	867
968	26273	840
969	26293	813
970	26314	785
971	26342	758
972	26372	731
973	26401	704
974	26427	677
975	26459	650
976	26489	623
977	26512	596
978	26539	569
979	26569	542
980	26595	515
981	26617	487
982	26641	460
983	26667	433
984	26691	406
985	26719	379
986	26752	352
987	26775	325
988	26799	298
989	26822	270
990	26848	243
991	26873	216
992	26902	189
993	26932	162
994	26967	135
995	27000	108
996	27033	81
997	27067	54
998	27095	27
999	27115	0
